engine_rpm, wheel_rpm, secondary_rpm, sheave_position, brake_position
0, 0.000000, 0.000000, -88, 0.523746
0, 0.000000, 0.000000, -88, 0.484950
0, 0.000000, 0.000000, -89, 0.470903
0, 0.000000, 0.000000, -90, 0.491639
0, 0.000000, 0.000000, -90, 0.492977
0, 0.000000, 0.000000, -89, 0.482943
0, 0.000000, 0.000000, -91, 0.480268
0, 0.000000, 0.000000, -92, 0.484950
0, 0.000000, 0.000000, -91, 0.476254
0, 0.000000, 0.000000, -90, 0.484281
0, 0.000000, 0.000000, -91, 0.476254
0, 0.000000, 0.000000, -90, 0.481605
0, 0.000000, 0.000000, -89, 0.478930
0, 0.000000, 0.000000, -91, 0.469565
0, 0.000000, 0.000000, -91, 0.476923
0, 0.000000, 0.000000, -88, 0.474248
0, 0.000000, 0.000000, -91, 0.489632
0, 0.000000, 0.000000, -91, 0.480936
0, 0.000000, 0.000000, -88, 0.476923
0, 0.000000, 0.000000, -93, 0.480936
0, 0.000000, 0.000000, -87, 0.456187
0, 0.000000, 0.000000, -89, 0.478930
0, 0.000000, 0.000000, -90, 0.473579
0, 0.000000, 0.000000, -89, 0.480268
0, 0.000000, 0.000000, -90, 0.480268
0, 0.000000, 0.000000, -88, 0.485619
0, 0.000000, 0.000000, -89, 0.480936
0, 0.000000, 0.000000, -91, 0.498997
0, 0.000000, 0.000000, -88, 0.484281
0, 0.000000, 0.000000, -90, 0.482274
0, 0.000000, 0.000000, -90, 0.565886
0, 0.000000, 0.000000, -88, 0.480936
0, 0.000000, 0.000000, -91, 0.480268
0, 0.000000, 0.000000, -89, 0.472910
0, 0.000000, 0.000000, -90, 0.480936
0, 0.000000, 0.000000, -90, 0.490301
0, 0.000000, 0.000000, -87, 0.481605
0, 0.000000, 0.000000, -88, 0.479599
0, 0.000000, 0.000000, -91, 0.482274
0, 0.000000, 0.000000, -89, 0.480268
0, 0.000000, 0.000000, -89, 0.479599
0, 0.000000, 0.000000, -91, 0.480268
0, 0.000000, 0.000000, -88, 0.479599
0, 0.000000, 0.000000, -90, 0.479599
0, 0.000000, 0.000000, -90, 0.474916
0, 0.000000, 0.000000, -90, 0.479599
0, 0.000000, 0.000000, -91, 0.484281
0, 0.000000, 0.000000, -90, 0.481605
0, 0.000000, 0.000000, -89, 0.480936
0, 0.000000, 0.000000, -90, 0.480936
0, 0.000000, 0.000000, -90, 0.480936
0, 0.000000, 0.000000, -89, 0.477592
0, 0.000000, 0.000000, -91, 0.479599
0, 0.000000, 0.000000, -89, 0.342475
0, 0.000000, 0.000000, -90, 0.480936
0, 0.000000, 0.000000, -91, 0.478261
0, 0.000000, 0.000000, -90, 0.545819
0, 0.000000, 0.000000, -88, 0.480936
0, 0.000000, 0.000000, -89, 0.488294
0, 0.000000, 0.000000, -89, 0.479599
0, 0.000000, 0.000000, -88, 0.476923
0, 0.000000, 0.000000, -90, 0.492308
0, 0.000000, 0.000000, -89, 0.476923
0, 0.000000, 0.000000, -88, 0.459532
0, 0.000000, 0.000000, -90, 0.471572
0, 0.000000, 0.000000, -89, 0.479599
0, 0.000000, 0.000000, -89, 0.478930
0, 0.000000, 0.000000, -91, 0.478930
0, 0.000000, 0.000000, -90, 0.477592
0, 0.000000, 0.000000, -89, 0.480936
0, 0.000000, 0.000000, -91, 0.488963
0, 0.000000, 0.000000, -88, 0.480268
0, 0.000000, 0.000000, -89, 0.480936
0, 0.000000, 0.000000, -91, 0.466221
0, 0.000000, 0.000000, -90, 0.432107
0, 0.000000, 0.000000, -91, 0.420067
0, 0.000000, 0.000000, -90, 0.480936
0, 0.000000, 0.000000, -90, 0.479599
0, 0.000000, 0.000000, -88, 0.477592
0, 0.000000, 0.000000, -89, 0.480936
0, 0.000000, 0.000000, -90, 0.476923
0, 0.000000, 0.000000, -90, 0.490970
0, 0.000000, 0.000000, -88, 0.470903
0, 0.000000, 0.000000, -91, 0.476923
0, 0.000000, 0.000000, -90, 0.480268
0, 0.000000, 0.000000, -88, 0.476254
0, 0.000000, 0.000000, -91, 0.474248
0, 0.000000, 0.000000, -89, 0.474248
0, 0.000000, 0.000000, -89, 0.476254
0, 0.000000, 0.000000, -90, 0.477592
0, 0.000000, 0.000000, -89, 0.476254
0, 0.000000, 0.000000, -90, 0.432107
0, 0.000000, 0.000000, -90, 0.458863
0, 0.000000, 0.000000, -88, 0.476923
0, 0.000000, 0.000000, -91, 0.395987
0, 0.000000, 0.000000, -90, 0.480936
