engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position
2515.770752, 639.749817, 892.873108, 125.000000, -7.452360, -1308.097656, 0.440134
2581.786621, 1349.939209, 363.642975, -60.000000, -4.499020, 568.036194, 0.343144
2656.635986, 373.134308, 535.714294, -23.000000, -1.150494, 207.126816, 0.438796
2647.541992, 425.874237, 545.454529, 14.000000, -1.557331, -148.398987, 0.404682
2621.456787, 214.239807, 363.623138, -17.000000, -2.724300, 135.713150, 0.375920
2109.033691, 824.966980, 178.577805, -1.000000, -25.648493, -244.519821, 0.470234
1047.523071, 0.000000, 0.000000, -123.000000, -90.000000, 336.000000, 0.465552
367.401123, 0.000000, 0.000000, -63.000000, -90.000000, -272.000000, 0.450836
0.000000, 0.000000, 0.000000, -116.000000, -90.000000, 261.000000, 0.438127
0.000000, 0.000000, 0.000000, -66.000000, -90.000000, -240.000000, 0.371906
0.000000, 0.000000, 0.000000, -113.000000, -90.000000, 228.000000, 0.000000
0.000000, 0.000000, 0.000000, -70.000000, -90.000000, -198.000000, 0.000000
0.000000, 0.000000, 0.000000, -103.000000, -90.000000, 126.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 6.000000, 0.000000
0.000000, 0.000000, 0.000000, -80.000000, -90.000000, -105.000000, 0.000000
0.000000, 0.000000, 0.000000, -103.000000, -90.000000, 128.000000, 0.000000
0.000000, 0.000000, 0.000000, -91.000000, -90.000000, 15.000000, 0.000000
0.000000, 0.000000, 0.000000, -79.000000, -90.000000, -112.000000, 0.000000
0.000000, 0.000000, 0.000000, -97.000000, -90.000000, 66.000000, 0.000000
0.000000, 0.000000, 0.000000, -91.000000, -90.000000, 16.000000, 0.000000
0.000000, 0.000000, 0.000000, -78.000000, -90.000000, -122.000000, 0.000000
0.000000, 0.000000, 0.000000, -102.000000, -90.000000, 118.000000, 0.000000
