time_us,engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position
58904731, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
59105777, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
59306759, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
59518840, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
59719887, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
59920502, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
60130783, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
60331777, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
60543864, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
60744876, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
60947876, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
61148502, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
61358794, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
61561745, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
61764749, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
61977703, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
62180782, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
62383733, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
62586755, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
62789759, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
62992527, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
63202677, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
63403682, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
63616337, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
63816829, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
64017895, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
64229699, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
64430782, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
64641847, 103.632790, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
64844855, 513.658997, 223.879486, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
65055925, 1029.406128, 1268.631470, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
65277722, 1441.485596, 3980.382324, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
65488824, 1550.091064, 1706.484619, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
65710746, 1621.957642, 750.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
65921880, 1648.054688, 597.014893, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
66132829, 1675.327515, 1000.014282, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
66354740, 1715.936035, 899.986511, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
66566428, 1755.502808, 746.264954, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
66777776, 1757.870361, 856.995972, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
66989790, 1786.399414, 1044.760498, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
67210831, 1785.853760, 861.392395, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
67421906, 1791.010010, 899.973022, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
67633804, 1791.049561, 597.041626, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
67854691, 1772.327637, 999.795288, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
68066400, 1767.478149, 1049.973755, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
68278793, 1787.918945, 1279.893799, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
68492535, 1805.060791, 886.695129, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
68713766, 1785.481079, 1349.973022, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
68924888, 1797.750122, 2537.414307, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
69146866, 1785.285156, 2285.246338, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
69357796, 1777.310425, 1865.625244, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
69579795, 1760.942383, 1786.096924, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
69791383, 1729.604492, 1791.035889, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
70003776, 1728.523315, 2142.459229, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
70217559, 1722.274170, 295.566498, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
70438836, 1719.057617, 1343.283569, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
70649825, 1726.354370, 749.981262, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
70861779, 1752.584351, 426.629242, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
71082840, 1789.029053, 1044.776123, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
71294883, 1792.139893, 11849.822266, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
71516364, 1787.436768, 4286.510254, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
71727781, 1759.183105, 2611.953125, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
71949872, 1757.512085, 7694.755859, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
72160805, 1719.719238, 4937.483398, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
72382728, 1676.379028, 2701.818848, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
72593864, 1687.525757, 2843.723145, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
72805925, 1673.689819, 2549.987305, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
